Tree,Array Size,Create Time,Search Time Min,Search Time Max,In-order Traversal,Balance (in BST)
BST,2048,0.007804155349731445,5.9604644775390625e-06,1.2159347534179688e-05,0.0023131370544433594,0.000957489013671875
BST,2048,0.006334066390991211,2.384185791015625e-06,3.814697265625e-06,0.0018761157989501953,0.0008780956268310547
BST,2048,0.004766702651977539,2.1457672119140625e-06,5.0067901611328125e-06,0.004557609558105469,0.0013484954833984375
BST,2048,0.007466793060302734,2.384185791015625e-06,6.9141387939453125e-06,0.0036537647247314453,0.0012862682342529297
BST,4096,0.016762256622314453,1.9073486328125e-06,5.245208740234375e-06,0.004578590393066406,0.002033710479736328
BST,4096,0.013318538665771484,2.384185791015625e-06,6.9141387939453125e-06,0.008718252182006836,0.005306720733642578
BST,4096,0.015690326690673828,2.1457672119140625e-06,4.76837158203125e-06,0.004272937774658203,0.0019588470458984375
BST,4096,0.011113882064819336,2.384185791015625e-06,5.245208740234375e-06,0.004991292953491211,0.0026667118072509766
BST,8192,0.03423500061035156,2.6226043701171875e-06,6.67572021484375e-06,0.011705875396728516,0.005591392517089844
BST,8192,0.03451085090637207,3.337860107421875e-06,7.3909759521484375e-06,0.01063227653503418,0.008598804473876953
BST,8192,0.03047776222229004,3.5762786865234375e-06,6.198883056640625e-06,0.012108564376831055,0.007987022399902344
BST,8192,0.03105473518371582,3.5762786865234375e-06,6.9141387939453125e-06,0.011571407318115234,0.007896184921264648
BST,16384,0.10448765754699707,5.4836273193359375e-06,1.4543533325195312e-05,0.08124828338623047,0.02030181884765625
BST,16384,0.08832502365112305,3.337860107421875e-06,1.0013580322265625e-05,0.02844834327697754,0.01498723030090332
BST,16384,0.0674288272857666,2.86102294921875e-06,6.9141387939453125e-06,0.03235578536987305,0.010664939880371094
BST,16384,0.06620168685913086,3.814697265625e-06,9.298324584960938e-06,0.03617238998413086,0.015119314193725586
BST,32768,0.14742016792297363,2.86102294921875e-06,6.67572021484375e-06,0.04508352279663086,0.03747677803039551
BST,32768,0.15113234519958496,3.337860107421875e-06,8.58306884765625e-06,0.04442596435546875,0.038027286529541016
BST,32768,0.1215059757232666,2.384185791015625e-06,6.4373016357421875e-06,0.04704594612121582,0.04031705856323242
BST,32768,0.12797832489013672,2.6226043701171875e-06,1.0728836059570312e-05,0.0542755126953125,0.044266700744628906
AVL,2048,0.0026209354400634766,2.86102294921875e-06,4.76837158203125e-06,0.0019648075103759766,
AVL,2048,0.003515005111694336,6.67572021484375e-06,7.62939453125e-06,0.003376483917236328,
AVL,2048,0.017080068588256836,6.9141387939453125e-06,9.775161743164062e-06,0.004229307174682617,
AVL,2048,0.005204439163208008,4.291534423828125e-06,6.4373016357421875e-06,0.003886699676513672,
AVL,4096,0.007241725921630859,5.7220458984375e-06,7.152557373046875e-06,0.005196094512939453,
AVL,4096,0.007742643356323242,4.5299530029296875e-06,9.059906005859375e-06,0.007868289947509766,
AVL,4096,0.010755777359008789,8.58306884765625e-06,1.0728836059570312e-05,0.008527040481567383,
AVL,4096,0.007849454879760742,4.76837158203125e-06,6.67572021484375e-06,0.004328489303588867,
AVL,8192,0.013011455535888672,4.76837158203125e-06,7.3909759521484375e-06,0.016346216201782227,
AVL,8192,0.01918506622314453,7.867813110351562e-06,2.3603439331054688e-05,0.013284683227539062,
AVL,8192,0.01800680160522461,6.4373016357421875e-06,1.1205673217773438e-05,0.01105499267578125,
AVL,8192,0.014061927795410156,7.152557373046875e-06,1.9788742065429688e-05,0.012430906295776367,
AVL,16384,0.035176992416381836,5.9604644775390625e-06,7.152557373046875e-06,0.040230751037597656,
AVL,16384,0.04062795639038086,6.67572021484375e-06,7.62939453125e-06,0.033667564392089844,
AVL,16384,0.049642086029052734,6.198883056640625e-06,1.2159347534179688e-05,0.040715694427490234,
AVL,16384,0.03287386894226074,9.775161743164062e-06,1.2636184692382812e-05,0.02376389503479004,
AVL,32768,0.07963848114013672,5.7220458984375e-06,1.0251998901367188e-05,0.08907389640808105,
AVL,32768,0.08230876922607422,9.059906005859375e-06,9.775161743164062e-06,0.05037379264831543,
AVL,32768,0.08544135093688965,5.7220458984375e-06,1.0967254638671875e-05,0.05246233940124512,
AVL,32768,0.07108068466186523,7.3909759521484375e-06,1.0251998901367188e-05,0.053560733795166016,
,,,,,,
Tree,Array Size,Create Time,Search Time,In-order Traversal,Balance (in BST)
BST,2048,0.006592929363250732,5.0961971282958984e-06,0.003100156784057617,0.0011175870895385742
BST,4096,0.014221251010894775,3.874301910400391e-06,0.005640268325805664,0.00299149751663208
BST,8192,0.03256958723068237,5.036592483520508e-06,0.011504530906677246,0.007518351078033447
BST,16384,0.0816107988357544,7.033348083496094e-06,0.04455620050430298,0.015268325805664062
BST,32768,0.13700920343399048,5.453824996948242e-06,0.04770773649215698,0.04002195596694946
AVL,2048,0.007105112075805664,6.16908073425293e-06,0.0033643245697021484,
AVL,4096,0.008397400379180908,7.152557373046875e-06,0.006479978561401367,
AVL,8192,0.016066312789916992,1.1026859283447266e-05,0.013279199600219727,
AVL,16384,0.03958022594451904,8.52346420288086e-06,0.03459447622299194,
AVL,32768,0.07961732149124146,8.64267349243164e-06,0.061367690563201904,
