Graph Type,Number of Nodes,Hamiltonian Cycle Time,Eulerian Cycle Time
Hamiltonian,100,0.005044221878051758,5.7220458984375e-06
Hamiltonian,200,0.09483957290649414,7.62939453125e-06
Hamiltonian,300,0.014373779296875,7.152557373046875e-06
Hamiltonian,400,0.01782083511352539,5.9604644775390625e-06
Hamiltonian,500,0.21081161499023438,1.1205673217773438e-05
Hamiltonian,600,2.4724502563476562,6.4373016357421875e-06
Non-Hamiltonian,12,0.08918881416320801
Non-Hamiltonian,13,0.5895776748657227
Non-Hamiltonian,14,1.5211181640625
Non-Hamiltonian,15,12.755160570144653
Non-Hamiltonian,16,294.5809578895569
Non-Hamiltonian,17,1013.4681072235107
