Number of nodes,Representation,Search edge,Kahn algorithm,Tarjan algorithm
256,matrix,3.24249267578125e-05,0.00722503662109375,0.003064870834350586
256,list,1.6450881958007812e-05,0.0032722949981689453,0.0009605884552001953
256,table,0.0014150142669677734,0.2535707950592041,0.28244876861572266
512,matrix,4.553794860839844e-05,0.0553135871887207,0.022099018096923828
512,list,5.173683166503906e-05,0.04052901268005371,0.014848709106445312
512,table,0.0019769668579101562,2.782174825668335,3.57659912109375
840,matrix,3.266334533691406e-05,0.1340475082397461,0.0439305305480957
840,list,9.751319885253906e-05,0.16583681106567383,0.04387235641479492
840,table,0.021261215209960938,18.09157371520996,28.143351554870605
1024,matrix,3.695487976074219e-05,0.1931605339050293,0.08678960800170898
1024,list,7.152557373046875e-05,0.19942164421081543,0.04280352592468262
1024,table,0.03615713119506836,36.64081430435181,54.97326970100403
1300,matrix,4.2438507080078125e-05,0.2588651180267334,0.10845065116882324
1300,list,4.458427429199219e-05,0.25751662254333496,0.0655663013458252
1300,table,0.06655764579772949,78.7522919178009,118.505215883255
